code,date,event_datetime,event_time,spike_ratio,event_volume_1m,base_volume_1m,daily_volume,daily_turnover,event_volume_share,close_at_event,event_pos,event_start_time,event_end_time,n_minutes_day,ret_pre5,rv_pre5,volume_pre5,turnover_pre5,n_pre5,ret_event5,rv_event5,volume_event5,turnover_event5,n_event5,ret_post5,rv_post5,volume_post5,turnover_post5,n_post5
000001.XSHE,2024-01-16,2024-01-16 11:10:00,11:10:00,14.797997644287397,2512700.0,169800.0,143831258.0,1334465408.0,0.01746977697991072,9.29,99,11:10:00,11:14:00,240,0.0,2.319883967136906e-06,1072720.0,9957805.0,5,0.0021551724137931494,2.3173894684881353e-06,3763900.0,34993243.0,5,0.0,2.3148949698393647e-06,1231000.0,11443620.0,5
000001.XSHE,2024-01-17,2024-01-17 14:40:00,14:40:00,9.952863659401926,1963700.0,197300.0,148229621.0,1380725065.0,0.01324768954242958,9.27,219,14:40:00,14:44:00,240,-0.0010764262648008671,3.4748369534078174e-06,3223300.0,29924855.0,5,0.0,6.9671582674208054e-06,4967300.0,46079797.0,5,-0.0021551724137930384,4.654798224194924e-06,4368800.0,40489230.0,5
000001.XSHE,2024-01-18,2024-01-18 10:27:00,10:27:00,21.200820723262375,4133100.0,194950.0,175513247.0,1597853726.0,0.02354864986344877,9.07,56,10:27:00,10:31:00,240,-0.006564551422319487,1.4483162095307876e-05,9628812.0,87761714.0,5,0.004405286343612147,1.6938176746537883e-05,6584100.0,59830375.0,5,0.0010964912280704286,6.012788550982117e-06,1867282.0,17016034.0,5
000001.XSHE,2024-01-19,2024-01-19 11:05:00,11:05:00,7.656518345042935,980800.0,128100.0,96398142.0,881865023.0,0.010174469960219772,9.18,94,11:05:00,11:09:00,240,0.0010917030567685337,1.1905157562274612e-06,1597100.0,14636558.0,5,0.0010905125408942062,8.292210929044961e-06,3028791.0,27833720.0,5,-0.0010893246187363426,8.3128845585203e-06,931000.0,8545584.0,5
000001.XSHE,2024-01-22,2024-01-22 11:08:00,11:08:00,18.056662636033856,3733215.0,206750.0,158031966.0,1449858241.0,0.02362316368322596,9.25,97,11:08:00,11:12:00,240,0.0032573289902280145,5.880510437465794e-06,4226711.0,38977012.0,5,0.0,4.680004223706328e-06,6828615.0,63135264.0,5,0.0,2.340002111853164e-06,1865100.0,17235832.0,5
000001.XSHE,2024-01-23,2024-01-23 14:22:00,14:22:00,13.887434252726106,2165051.0,155900.0,113554458.0,1030898421.0,0.019066191130954983,9.16,201,14:22:00,14:26:00,240,0.0,2.3966961543513612e-06,782800.0,7153256.0,5,0.003282275711159688,1.0722488219447144e-05,5661351.0,51863655.0,5,0.0,2.3810315124549225e-06,1159400.0,10631101.0,5
000001.XSHE,2024-01-24,2024-01-24 14:19:00,14:19:00,25.22824536376605,6012900.0,238340.0,175912316.0,1620099272.0,0.03418123379149871,9.27,198,14:19:00,14:23:00,240,-0.00108108108108107,1.0540147612829116e-05,6768022.0,62572122.0,5,0.0,1.400971320658218e-05,9149000.0,84673468.0,5,0.0010822510822510178,3.5049491680283736e-06,3328300.0,30787071.0,5
000001.XSHE,2024-01-25,2024-01-25 11:20:00,11:20:00,18.86143470263642,3076300.0,163100.0,216251395.0,2037648413.0,0.014225572972604407,9.48,109,11:20:00,11:24:00,240,0.004232804232804366,8.927657072125818e-06,5953600.0,56341833.0,5,0.0,1.1143605317014562e-05,7705274.0,73083062.0,5,-0.0010537407797681642,7.787826886163824e-06,2521800.0,23907145.0,5
000001.XSHE,2024-01-26,2024-01-26 13:44:00,13:44:00,16.0267620020429,3138040.0,195800.0,227228706.0,2172799799.0,0.013810050918478584,9.59,163,13:44:00,13:48:00,240,0.0020942408376962707,1.3114033504503878e-05,4744920.0,45398285.0,5,0.0010449320794148065,1.4163734765543e-05,6177900.0,59189986.0,5,0.0031315240083507057,9.789446222149656e-06,6381884.0,61188920.0,5
000001.XSHE,2024-01-29,2024-01-29 11:13:00,11:13:00,24.67647197640118,4182662.0,169500.0,237625184.0,2312173346.0,0.017601930610183135,9.75,102,11:13:00,11:17:00,240,0.002063983488132193,4.25344431339994e-06,2618336.0,25404331.0,5,0.003089598352214118,2.0055085923290805e-05,9136962.0,89058324.0,5,0.002053388090349051,6.322451147928553e-06,4743278.0,46198903.0,5
000001.XSHE,2024-01-30,2024-01-30 10:33:00,10:33:00,9.823270667010044,1907188.0,194150.0,157912214.0,1515156603.0,0.0120775204886938,9.58,62,10:33:00,10:37:00,240,-0.0010395010395010118,3.2495672122256816e-06,1357312.0,13037684.0,5,-0.003121748178980144,9.775821406610541e-06,3244088.0,31104019.0,5,-0.0020876826722338038,2.183768286897532e-06,3042400.0,29127671.0,5
000001.XSHE,2024-01-31,2024-01-31 10:09:00,10:09:00,8.482998454404946,2195400.0,258800.0,135721747.0,1286857396.0,0.01617574227069152,9.47,38,10:09:00,10:13:00,240,-0.004214963119072768,1.1157744971305925e-05,4285700.0,40615649.0,5,0.0,6.704545486291293e-06,6178900.0,58409200.0,5,0.0,8.974935880707366e-06,4432310.0,41842287.0,5
000001.XSHE,2024-02-01,2024-02-01 13:26:00,13:26:00,5.573936170212766,1047900.0,188000.0,105525987.0,993481907.0,0.009930255378705911,9.47,145,13:26:00,13:30:00,240,0.0010593220338983578,1.2368813883046121e-05,1291400.0,12181522.0,5,0.002116402116402183,6.6974731802657205e-06,2491208.0,23583147.0,5,-0.0031678986272440923,3.3558245041742246e-06,1838950.0,17383845.0,5
000001.XSHE,2024-02-02,2024-02-02 10:33:00,10:33:00,10.727106973277234,2935800.0,273680.5,163421431.0,1520605694.0,0.017964596087767706,9.39,62,10:33:00,10:37:00,240,0.0,2.256261478142609e-06,703400.0,6622497.0,5,-0.002125398512221044,1.1346335203541598e-05,6186897.0,58113723.0,5,0.0,4.536587150060786e-06,1588300.0,14909697.0,5
000001.XSHE,2024-02-05,2024-02-05 13:22:00,13:22:00,10.410176066845718,2232608.0,214464.0,180359190.0,1674566499.0,0.012378676129561238,9.41,141,13:22:00,13:26:00,240,0.0064239828693790635,1.1380301808287261e-05,7681300.0,71932840.0,5,-0.0021276595744680327,1.8146393625966293e-05,5352108.0,50316045.0,5,0.002132196162046851,3.182634702484776e-05,3076079.0,28887573.0,5
000001.XSHE,2024-02-06,2024-02-06 11:05:00,11:05:00,19.08154110429448,3887864.0,203750.0,199540954.0,1900324218.0,0.01948404035394158,9.49,94,11:05:00,11:09:00,240,0.0031678986272438703,5.555370114386056e-06,2468685.0,23412614.0,5,0.001052631578947416,5.541336956241659e-06,5062064.0,48103737.0,5,-0.002103049421661396,6.645872267093942e-06,1928000.0,18316077.0,5
000001.XSHE,2024-02-07,2024-02-07 11:22:00,11:22:00,17.4814598540146,2993700.0,171250.0,206201497.0,1975435102.0,0.014518323307807994,9.52,111,11:22:00,11:26:00,240,0.0,2.1998277718166826e-06,2506700.0,23908133.0,5,-0.002096436058700135,4.404275817773036e-06,5687120.0,54162116.0,5,-0.0031512605042015585,9.961824382697677e-06,11082100.0,105332117.0,5
000001.XSHE,2024-02-08,2024-02-08 14:01:00,14:01:00,5.562400759734093,1464302.0,263250.0,165681384.0,1593505690.0,0.008838059923497501,9.65,180,14:01:00,14:05:00,240,0.0010384215991692258,3.2360812016724088e-06,2053600.0,19772880.0,5,0.0,8.606441999690285e-06,3671600.0,35398904.0,5,0.0010373443983402453,3.224904576418673e-06,2962861.0,28587364.0,5
000001.XSHE,2024-02-19,2024-02-19 14:07:00,14:07:00,7.595999080248333,1982100.0,260940.0,160524265.0,1564088444.0,0.012347665943214256,9.8,186,14:07:00,14:11:00,240,0.0010235414534287557,3.1439866398521806e-06,2115100.0,20667847.0,5,0.0010224948875254825,7.300335959649608e-06,3002700.0,29396668.0,5,-0.002042900919305368,6.270841658802217e-06,2621500.0,25647094.0,5
